1	44	United Kingdom Lewis Hamilton	Mercedes	55	1:39:40.382	1	25
2	5	Germany Sebastian Vettel	Ferrari	55	+2.581	3	18
3	33	Netherlands Max Verstappen	Red Bull Racing-TAG Heuer	55	+12.706	6	15
4	3	Australia Daniel Ricciardo	Red Bull Racing-TAG Heuer	55	+15.379	5	12
5	77	Finland Valtteri Bottas	Mercedes	55	+47.957	2	10
6	55	Spain Carlos Sainz Jr.	Renault	55	+1:12.548	11	8
7	16	Monaco Charles Leclerc	Sauber-Ferrari	55	+1:30.789	8	6
8	11	Mexico Sergio Pérez	Force India-Mercedes	55	+1:31.275	14	4
9	8	France Romain Grosjean	Haas-Ferrari	54	+1 lap	7	2
10	20	Denmark Kevin Magnussen	Haas-Ferrari	54	+1 lap	13	1
11	14	Spain Fernando Alonso	McLaren-Renault	54	+1 lap1	15	
12	28	New Zealand Brendon Hartley	Scuderia Toro Rosso-Honda	54	+1 lap	16	
13	18	Canada Lance Stroll	Williams-Mercedes	54	+1 lap	20	
14	2	Belgium Stoffel Vandoorne	McLaren-Renault	54	+1 lap	18	
15	35	Russia Sergey Sirotkin	Williams-Mercedes	54	+1 lap	19	
Ret	10	France Pierre Gasly	Scuderia Toro Rosso-Honda	46	Engine	17	
Ret	31	France Esteban Ocon	Force India-Mercedes	44	Engine1	9	
Ret	9	Sweden Marcus Ericsson	Sauber-Ferrari	24	Power loss	12	
Ret	7	Finland Kimi Räikkönen	Ferrari	6	Power loss	4	
Ret	27	Germany Nico Hülkenberg	Renault	0	Collision	10	